priority_tier,area,store_name,address,phone,map_link,instagram_or_site,review_count,rating,store_type,store_tone,location_score,specialty_score,contactability_score,total_score,priority_grade,message_type,contact_status,last_contact_date,notes
1,삼성/코엑스,마샤 베이프 대치동점,서울 강남구 영동대로85길 20 대치3차아이파크오피스텔 301호,010-2816-5801,https://m.martha-vape.com/bs21/layout/map_store2.html,, , ,전자담배 전문점,삼성역/대치 상권,4,4,5,13,A,1,미접촉,,공개 웹 검색 기반 초안. 주소/번호 보강
1,삼성/코엑스,킹콩전자담배 삼성점,서울 강남구 봉은사로82길 25,010-3462-9876,http://litmuskorea.co.kr/sitefront/Litmuskorea/stores/,, , ,전자담배 전문점,삼성동 핵심상권,4,4,5,13,A,2,미접촉,,공개 웹 검색 기반 초안
1,삼성/코엑스,구름쥬스 삼성동점,서울 강남구 삼성동 153-36 여송빌딩 1층,010-9177-7708,https://gureumjuice.com/,, , ,전자담배 전문점,삼성동 상권,4,4,5,13,A,2,미접촉,,공개 웹 검색상 확인된 010 번호 반영
1,삼성/코엑스,삼성역전자담배,서울 강남구 영동대로85길 20 대치3차아이파크오피스텔 1동 301호,010-2816-5801,https://m.martha-vape.com/bs21/layout/map_store2.html,, , ,전자담배 전문점,삼성역 인접,4,4,5,13,A,2,미접촉,,기존 02 대신 공개 웹 검색상 확인된 010 번호 반영
1,잠실/송리단길,송파잠실 전자담배 베이프갱스터,서울 송파구 오금로11길 11-11 B동 101호,010-9490-3404,,,,,전자담배 전문점,방이/잠실 상권,4,4,5,13,A,1,미접촉,,공개 웹 검색 기반 초안
1,잠실/송리단길,아이다전자담배 송파잠실,서울 송파구 송파대로 404 우일빌딩 1층,010-8902-3169,https://m.martha-vape.com/bs21/layout/map_store2.html,, , ,전자담배 전문점,송파 메인상권,4,4,5,13,A,2,미접촉,,공개 웹 검색 기반 초안
1,잠실/송리단길,잔티몰,서울 송파구 백제고분로 187 파크인수 B202,010-8750-8531,,,,,전자담배 전문점,잠실 생활상권,3,4,5,12,A,2,미접촉,,공개 웹 검색 기반 초안
1,잠실/송리단길,라미야전자담배 송파가든파이브점,서울 송파구 충민로 66 가든파이브 NC백화점 지하1층 FB-1079호,010-2988-6281,,,,,전자담배 전문점,문정/송파 보강상권,3,4,5,12,A,2,미접촉,,공개 웹 검색 기반 초안
1,잠실/송리단길,방이베이프전자담배,서울특별시 송파구 오금로11길 33 신동아타워 1층 10호,02-417-6979,https://huu.kr/,, , ,전자담배 전문점,방이동 먹자골목,4,4,4,12,B,3,미접촉,,공개 검색상 02만 확인. 문자 발송용으론 후순위
1,잠실/송리단길,송파전자담배NO1,서울 송파구 올림픽로 104 1층 7호,010-5670-7124,https://m.martha-vape.com/bs21/layout/map_store2.html,,,,전자담배 전문점,잠실 상권,4,4,5,13,A,2,미접촉,,기존 02 대신 공개 웹 검색상 확인된 010 번호 반영
1,성수,나이스전자담배 성수동점,서울 성동구 성수동2가 314-6 신성빌딩 1층,010-9227-8506,https://m.martha-vape.com/bs21/layout/map_store2.html,,,,전자담배 전문점,성수 메인상권,5,4,5,14,A,1,미접촉,,공개 웹 검색 기반 초안
1,성수,베이프랩 성수점,서울 성동구 동일로 173 1층,010-7739-2839,https://m.martha-vape.com/bs21/layout/map_store2.html,,,,전자담배 전문점,성수 트렌드 상권,5,4,5,14,A,1,미접촉,,동일로점 기준 공개 웹 검색 기반 초안
1,성수,엑스업 전자담배 성수점,서울 성동구 성수이로20길 10 대한빌딩 1층,010-5871-3037,https://exup.co.kr/shopinfo/company.html,,,,전자담배 전문점,성수 상권,5,4,5,14,A,2,미접촉,,공개 웹 검색 기반 초안
1,성수,,,,,,,,,,,,,,,,,,
1,성수,,,,,,,,,,,,,,,,,,
1,성수,,,,,,,,,,,,,,,,,,
1,홍대/합정/상수,마블루 전자담배 홍대점,서울 마포구 홍익로 10 서교푸르지오 101동 1층 108-1호,010-8968-0717,https://xn--vk1br5hu7a69r54ec90a.kr/introAdultAuth?returnUrl=/home,,,,전자담배 전문점,홍대 메인상권,5,4,5,14,A,1,미접촉,,공개 웹 검색 기반 초안
1,홍대/합정/상수,,,,,,,,,,,,,,,,,,
1,홍대/합정/상수,,,,,,,,,,,,,,,,,,
1,홍대/합정/상수,,,,,,,,,,,,,,,,,,
1,홍대/합정/상수,,,,,,,,,,,,,,,,,,
1,홍대/합정/상수,,,,,,,,,,,,,,,,,,
1,홍대/합정/상수,,,,,,,,,,,,,,,,,,
1,홍대/합정/상수,,,,,,,,,,,,,,,,,,
1,이태원,킹콩전자담배 이태원점,서울 용산구 보광로 112 1층,010-8690-1391,https://m.zapjuice.co.kr/article/%EC%A0%84%EA%B5%AD%EC%B7%A8%EA%B8%89%EC%A0%90%EC%95%88%EB%82%B4/1002/251/,,,,전자담배 전문점,이태원 메인상권,4,4,5,13,A,1,미접촉,,공개 웹 검색 기반 초안
1,이태원,,,,,,,,,,,,,,,,,,
1,이태원,,,,,,,,,,,,,,,,,,
1,이태원,,,,,,,,,,,,,,,,,,
1,건대입구,고릴라파이프 건대점,서울 광진구 능동로 153 1층,010-9343-3233,https://m.zapjuice.co.kr/article/%EC%A0%84%EA%B5%AD%EC%B7%A8%EA%B8%89%EC%A0%90%EC%95%88%EB%82%B4/1002/261/,,,,전자담배 전문점,건대 메인상권,4,4,5,13,A,1,미접촉,,공개 웹 검색 기반 초안
2,건대입구,더베이프샵 다미 건대점,서울 광진구 능동로 137-1 3층,010-9805-5262,https://m.swidn.com/store,,,,전자담배 전문점,건대 메인상권,4,4,5,13,A,1,미접촉,,공개 웹 검색 기반 초안
2,건대입구,앤써전자담배,서울 광진구 광나루로 382 1층 103호,010-9293-8777,https://m.zapjuice.co.kr/article/%EC%A0%84%EA%B5%AD%EC%B7%A8%EA%B8%89%EC%A0%90%EC%95%88%EB%82%B4/1002/1615/,,,,전자담배 전문점,화양동/건대권,4,4,5,13,A,2,미접촉,,공개 웹 검색 기반 초안
2,건대입구,바이올렛베이프샵,서울 광진구 뚝섬로 522 1층,010-7979-1655,https://www.okinolabs.com/ko/store-locator/,,,,전자담배 전문점,자양동 생활상권,3,4,5,12,A,2,미접촉,,공개 웹 검색 기반 초안
2,건대입구,라미야자양점,서울 광진구 자양로13길 19 1층,010-9407-3923,https://m.martha-vape.com/bs21/layout/map_store2.html,,,,전자담배 전문점,자양동 상권,3,4,5,12,A,2,미접촉,,공개 웹 검색 기반 초안
2,신촌/이대,,,,,,,,,,,,,,,,,,
2,신촌/이대,,,,,,,,,,,,,,,,,,
2,신촌/이대,,,,,,,,,,,,,,,,,,
2,신촌/이대,,,,,,,,,,,,,,,,,,
2,종로/을지로/충무로,마블루 전자담배 종로점,서울 종로구 종로 132 1층 18호,010-3509-0589,https://xn--vk1br5hu7a69r54ec90a.kr/introAdultAuth?returnUrl=/home,,,,전자담배 전문점,종로 상권,4,4,5,13,A,1,미접촉,,공개 웹 검색 기반 초안
2,종로/을지로/충무로,위베이프 에코전자담배,서울 종로구 종로 233 1층,0507-1368-3757,https://m.swidn.com/store,,,,전자담배 전문점,종로 메인상권,4,4,5,13,A,2,미접촉,,공개 웹 검색 기반 초안
2,종로/을지로/충무로,커먼 전자담배 을지로점,서울 중구 수표로 48-7 홍일빌딩 102호,010-2079-6068,,,,,전자담배 전문점,을지로 오피스권,4,4,5,13,A,2,미접촉,,공개 웹 검색 기반 초안
2,종로/을지로/충무로,베이프식스틴 충무로점,서울 중구 소공로 지하 58 회현지하쇼핑센터 라열9호10호,010-8789-0789,,,,,전자담배 전문점,충무로 상권,4,4,5,13,A,1,미접촉,,공개 웹 검색 기반 초안
2,종로/을지로/충무로,,,,,,,,,,,,,,,,,,
2,여의도,마샤전자담배 여의도점,서울 영등포구 의사당대로 127 롯데캐슬엠파이어 B1층 117호,010-6844-5869,https://m.martha-vape.com/bs21/layout/map_store2.html,,,,전자담배 전문점,여의도 오피스타운,4,4,5,13,A,2,미접촉,,공개 웹 검색 기반 초안
2,여의도,세븐베이퍼,서울 영등포구 의사당대로1길 25 하남빌딩 2층,010-7497-7547,https://m.zapjuice.co.kr/article/%EC%A0%84%EA%B5%AD%EC%B7%A8%EA%B8%89%EC%A0%90%EC%95%88%EB%82%B4/1002/413/,,,,전자담배 전문점,여의도 오피스타운,4,4,5,13,A,2,미접촉,,공개 웹 검색 기반 초안
2,여의도,엔드퍼프/마샤 베이프 여의도,서울 영등포구 국회대로 780 엘지여의도에클라트 지하1층,010-3544-3028,https://end-puff.com/bs21/layout/map_all2.html,,,,전자담배 전문점,여의도 오피스타운,4,4,5,13,A,2,미접촉,,공개 웹 검색 기반 초안
2,여의도,,,,,,,,,,,,,,,,,,
2,영등포/문래,문래멀티샵NEW,서울 영등포구 문래로 79-13 1층,010-8859-4610,https://m.ejuiceko.com/find_store.html,,,,전자담배 전문점,문래 상권,3,4,5,12,A,2,미접촉,,공개 웹 검색 기반 초안
2,영등포/문래,문래전자담배할인점,서울 영등포구 선유로 70 우리벤처타운2 지하104호,010-3598-7552,https://m.justfog.co.kr/stockist.html,,,,전자담배 전문점,문래 업무지구,3,4,5,12,A,2,미접촉,,공개 웹 검색 기반 초안
2,영등포/문래,,,,,,,,,,,,,,,,,,
2,영등포/문래,,,,,,,,,,,,,,,,,,
2,마포/공덕,베이핑클럽 공덕,서울 마포구 마포대로 143 마포공덕파크팰리스Ⅱ 지하1층 108호,010-7604-1066,https://m.swidn.com/store,,,,전자담배 전문점,공덕 오피스타운,3,4,5,12,A,2,미접촉,,공개 웹 검색 기반 초안
2,마포/공덕,베이프스토리 마포공덕전자담배,서울 마포구 마포대로 52 고려아카데미텔Ⅱ 지하1층,010-9545-5735,https://m.ejuiceko.com/find_store.html,,,,전자담배 전문점,공덕 업무지구,3,4,5,12,A,2,미접촉,,공개 웹 검색 기반 초안
2,마포/공덕,,,,,,,,,,,,,,,,,,
2,사당/방배,,,,,,,,,,,,,,,,,,
2,사당/방배,,,,,,,,,,,,,,,,,,
2,사당/방배,,,,,,,,,,,,,,,,,,
2,왕십리/한양대,,,,,,,,,,,,,,,,,,
2,왕십리/한양대,,,,,,,,,,,,,,,,,,
3,노원,노원전자담배쇼핑몰,서울 노원구 상계로7길 22 우성아파트 101호,010-7572-1538,https://m.martha-vape.com/bs21/layout/map_store2.html,,,,전자담배 전문점,노원 생활상권,3,4,5,12,A,3,미접촉,,공개 웹 검색 기반 초안
3,노원,,,,,,,,,,,,,,,,,,
3,노원,,,,,,,,,,,,,,,,,,
3,수유/미아,전자담배그레이컴퍼니 수유점,서울 강북구 한천로 1096 1층,010-9823-9475,https://m.zapjuice.co.kr/article/%EC%A0%84%EA%B5%AD%EC%B7%A8%EA%B8%89%EC%A0%90%EC%95%88%EB%82%B4/1002/327/,,,,전자담배 전문점,수유 핵심상권,3,4,5,12,A,3,미접촉,,공개 웹 검색 기반 초안
3,수유/미아,수유전자담배 어썸리퀴드,서울 강북구 도봉로 290 수유역푸르지오시티 112호,010-5501-0095,https://m.ejuiceko.com/find_store.html,,,,전자담배 전문점,수유 역세권,3,4,5,12,A,3,미접촉,,공개 웹 검색 기반 초안
3,천호/강동,고릴라파이프 천호점,서울 강동구 진황도로 4,010-5392-0448,https://m.ejuiceko.com/find_store.html,,,,전자담배 전문점,천호 메인상권,3,4,5,12,A,2,미접촉,,공개 웹 검색 기반 초안
3,천호/강동,하카전자담배 강동천호점,서울 강동구 구천면로 281,010-5364-1342,https://m.xn--9i1bl26anubgtr9x44g.com/article/%EC%A0%84%EA%B5%AD%EB%A7%A4%EC%9E%A5%EC%95%88%EB%82%B4/5/340/,,,,전자담배 전문점,천호 상권,3,4,5,12,A,2,미접촉,,공개 웹 검색 기반 초안
3,천호/강동,라미야강동점,서울 강동구 천호동 157-3 1층,010-6553-3904,https://m.martha-vape.com/bs21/layout/map_store2.html,,,,전자담배 전문점,천호 생활상권,3,4,5,12,A,2,미접촉,,공개 웹 검색 기반 초안
3,목동/오목교,,,,,,,,,,,,,,,,,,
3,목동/오목교,,,,,,,,,,,,,,,,,,
3,구로디지털단지,베이프스트릿 구로점,서울 구로구 디지털로 315 1층,0507-1442-5115,http://m.xn--jk1bv40b.com/myboard/st_branch/1048331,,,,전자담배 전문점,구디 오피스타운,3,4,5,12,A,2,미접촉,,공개 웹 검색 기반 초안
3,구로디지털단지,구로디지털단지역 식후땡전자담배,서울 구로구 시흥대로 545-1 1층,010-2137-6780,https://m.zapjuice.co.kr/article/%EC%A0%84%EA%B5%AD%EC%B7%A8%EA%B8%89%EC%A0%90%EC%95%88%EB%82%B4/1002/1545/,,,,전자담배 전문점,구디 상권,3,4,5,12,A,2,미접촉,,공개 웹 검색 기반 초안
3,구로디지털단지,,,,,,,,,,,,,,,,,,
3,서울대입구/샤로수길,스모크 서울대입구역 전자담배,서울 관악구 관악로 211 1층 8호,010-5898-0078,https://m.zapjuice.co.kr/article/%EC%A0%84%EA%B5%AD%EC%B7%A8%EA%B8%89%EC%A0%90%EC%95%88%EB%82%B4/1002/646/,,,,전자담배 전문점,서울대입구 상권,3,4,5,12,A,1,미접촉,,공개 웹 검색 기반 초안
3,서울대입구/샤로수길,라미야서울대,서울 관악구 남부순환로 1820 지하1층 1057,010-4041-7810,https://m.martha-vape.com/bs21/layout/map_store2.html,,,,전자담배 전문점,서울대입구 상권,3,4,5,12,A,2,미접촉,,공개 웹 검색 기반 초안
3,신림,신림멀티샵,서울 관악구 신림로 309 1층,010-6406-4262,http://litmuskorea.co.kr/sitefront/Litmuskorea/stores/,,,,전자담배 전문점,신림 메인상권,3,4,5,12,A,2,미접촉,,공개 웹 검색 기반 초안
3,신림,신림역 토네이도전자담배,서울 관악구 신림로 318 1동 1층 101호,010-9452-8576,https://m.zapjuice.co.kr/article/%EC%A0%84%EA%B5%AD%EC%B7%A8%EA%B8%89%EC%A0%90%EC%95%88%EB%82%B4/1002/1101/,,,,전자담배 전문점,신림역 상권,3,4,5,12,A,1,미접촉,,공개 웹 검색 기반 초안
3,신림,베이프렌드 전자담배 신림점,서울 관악구 신림로 387 1층,010-7266-0709,https://m.swidn.com/store,,,,전자담배 전문점,신림 상권,3,4,5,12,A,1,미접촉,,공개 웹 검색 기반 초안
3,압구정/청담,킹콩전자담배 압구정점,서울 강남구 압구정로50길 27 1층 103호,010-5655-5934,http://litmuskorea.co.kr/sitefront/Litmuskorea/stores/,,,,전자담배 전문점,압구정 프리미엄 상권,4,4,5,13,A,1,미접촉,,공개 웹 검색 기반 초안
3,압구정/청담,지직스베이프 청담동점,서울 강남구 도산대로 415 1층,010-5360-4480,https://m.zapjuice.co.kr/article/%EC%A0%84%EA%B5%AD%EC%B7%A8%EA%B8%89%EC%A0%90%EC%95%88%EB%82%B4/1002/436/,,,,전자담배 전문점,청담 프리미엄 상권,4,4,5,13,A,1,미접촉,,공개 웹 검색 기반 초안
1,역삼/선릉,액상82,서울 강남구 테헤란로70길 12 H타워 402-613A호,010-2938-0625,https://xn--82-vs4jx6m.com/shopinfo/company.html,,,,전자담배 전문점,대치/테헤란로 오피스권,3,4,5,12,A,2,미접촉,,공개 웹 검색 기반 초안
3,압구정/청담,시가댕,서울 강남구 청담동 40-20 수정하이츠 202,010-2395-3314,https://m.cicadeng.com/shopinfo/company.html,,,,시가/전자담배 복합,청담 니치 상권,3,3,5,11,B,3,미접촉,,"전자담배 액상/시가 계열, 적합성 별도 판단"
3,문정/가락,송파 전자담배 너구리굴 문정점,서울 송파구 법원로11길 11 문정현대지식산업센터1-1 A동 130호,010-8208-0947,https://m.martha-vape.com/bs21/layout/map_store2.html,,,,전자담배 전문점,문정 상업지구,3,4,5,12,A,2,미접촉,,공개 웹 검색 기반 초안
3,문정/가락,라파엘전자담배 문정역점,서울 송파구 법원로 114 엠스테이트 B동 138호,010-2922-8023,https://m.zapjuice.co.kr/article/%EC%A0%84%EA%B5%AD%EC%B7%A8%EA%B8%89%EC%A0%90%EC%95%88%EB%82%B4/1002/1155/,,,,전자담배 전문점,문정역 인접,3,4,5,12,A,2,미접촉,,공개 웹 검색 기반 초안
3,문정/가락,원더베이프 문정점,서울 송파구 법원로9길 26 에이치비지니스파크 D동 103호,010-8265-7880,https://wondervape.kr/shopinfo/company.html,,,,전자담배 전문점,문정 업무지구,3,4,5,12,A,2,미접촉,,공개 웹 검색 기반 초안
3,문정/가락,베이프엔문정,서울 송파구 법원로4길 6 문정아이파크 132-2호,010-7559-9574,https://primejuice.kr/article/%ED%8C%90%EB%A7%A4%EC%A0%90-%EC%B0%BE%EA%B8%B0/5/1018/,,,,전자담배 전문점,문정 상권,3,4,5,12,A,1,미접촉,,공개 웹 검색 기반 초안
3,문정/가락,송파3대전자담배,서울 송파구 송이로 85 영진빌딩 1층,010-6585-2524,http://litmuskorea.co.kr/sitefront/Litmuskorea/stores/,,,,전자담배 전문점,가락 생활상권,3,4,5,12,A,2,미접촉,,기존 02와 함께 공개된 010 번호 사용
3,문정/가락,가락시장 베이핑샵,서울 송파구 송파대로28길 27 송파성원쌍떼빌상가 101동 219호,010-9278-8140,https://m.martha-vape.com/bs21/layout/map_store2.html,,,,전자담배 전문점,가락시장 인접,3,4,5,12,A,2,미접촉,,기존 02와 함께 공개된 010 번호 사용
3,서초/양재,서초전자담배,서울 서초구 효령로 304 국제전자센터 3층 3121호,010-9209-0071,https://m.justfog.co.kr/stockist.html,,,,전자담배 전문점,서초 상권,3,4,5,12,A,2,미접촉,,기존 02와 함께 공개된 010 번호 사용
2,건대입구,킹콩베이퍼스 군자점,서울 광진구 광나루로 369 광진두산위브파크 1층 102호,010-9930-9140,http://litmuskorea.co.kr/sitefront/Litmuskorea/stores/,,,,전자담배 전문점,군자/건대권,3,4,5,12,A,2,미접촉,,공개 웹 검색 기반 초안
