priority_tier,area,store_name,address,phone,map_link,instagram_or_site,review_count,rating,store_type,store_tone,location_score,specialty_score,contactability_score,total_score,priority_grade,message_type,contact_status,last_contact_date,notes,sms_ready,source_bucket,cleanup_flags,cluster,send_score,send_priority_bucket,recommended_wave,send_order,batch_hint,priority_reason
2,영등포/문래,문래전자담배할인점,서울 영등포구 선유로 70 우리벤처타운2 지하104호,010-3598-7552,https://m.justfog.co.kr/stockist.html,,,,전자담배 전문점,문래 업무지구,3,4,5,12,A,2,미접촉,,공개 웹 검색 기반 초안,yes,linked_source,,혼합 고회전 상권,13.60,P3,Wave 3,301,Batch 11,"score 13.6, linked source"
2,잠실/송리단길,라미야 방이점,서울 송파구 오금로11길 33 신동아타워 1층 10호,010-9624-3989,https://m.martha-vape.com/bs21/layout/map_store2.html,,,,전자담배 전문점,방이 상권,3,4,5,12,A,2,미접촉,,공개 웹 검색 기반 초안,yes,linked_source,,혼합 고회전 상권,13.60,P3,Wave 3,302,Batch 11,"score 13.6, linked source"
2,종로/을지로/충무로,커먼 전자담배 을지로점,서울 중구 수표로 48-7 홍일빌딩 102호,010-2079-6068,,,,,전자담배 전문점,을지로 오피스권,4,4,5,13,A,2,미접촉,,공개 웹 검색 기반 초안,yes,web_search_draft,draft_only,혼합 고회전 상권,13.50,P3,Wave 3,303,Batch 11,"score 13.5, flags:draft_only"
1,잠실/송리단길,라미야전자담배 송파가든파이브점,서울 송파구 충민로 66 가든파이브 NC백화점 지하1층 FB-1079호,010-2988-6281,,,,,전자담배 전문점,문정/송파 보강상권,3,4,5,12,A,2,미접촉,,공개 웹 검색 기반 초안,yes,web_search_draft,draft_only,혼합 고회전 상권,13.30,P3,Wave 3,304,Batch 11,"score 13.3, tier1 area, flags:draft_only"
1,잠실/송리단길,잔티몰,서울 송파구 백제고분로 187 파크인수 B202,010-8750-8531,,,,,전자담배 전문점,잠실 생활상권,3,4,5,12,A,2,미접촉,,공개 웹 검색 기반 초안,yes,web_search_draft,draft_only,혼합 고회전 상권,13.30,P3,Wave 3,305,Batch 11,"score 13.3, tier1 area, flags:draft_only"
2,마포/공덕,베이핑클럽 공덕,서울 마포구 마포대로 143 마포공덕파크팰리스Ⅱ 지하1층 108호,010-7604-1066,https://m.swidn.com/store,,,,전자담배 전문점,공덕 오피스타운,3,4,5,12,A,2,미접촉,,공개 웹 검색 기반 초안; 동일 연락처 중복 병합: 베이핑클럽 마포 | 서울 마포구 마포대로,yes,linked_source,merged_dup_history,혼합 고회전 상권,13.10,P3,Wave 3,306,Batch 11,"score 13.1, linked source, flags:merged_dup_history"
3,구로디지털단지,구로디지털단지역 식후땡전자담배,서울 구로구 시흥대로 545-1 1층,010-2137-6780,https://m.zapjuice.co.kr/article/%EC%A0%84%EA%B5%AD%EC%B7%A8%EA%B8%89%EC%A0%90%EC%95%88%EB%82%B4/1002/1545/,,,,전자담배 전문점,구디 상권,3,4,5,12,A,2,미접촉,,공개 웹 검색 기반 초안,yes,linked_source,,혼합 고회전 상권,12.90,P3,Wave 3,307,Batch 11,"score 12.9, linked source"
3,구로디지털단지,베이프스트릿 구로점,서울 구로구 디지털로 315 1층,0507-1442-5115,http://m.xn--jk1bv40b.com/myboard/st_branch/1048331,,,,전자담배 전문점,구디 오피스타운,3,4,5,12,A,2,미접촉,,공개 웹 검색 기반 초안,yes,linked_source,,혼합 고회전 상권,12.90,P3,Wave 3,308,Batch 11,"score 12.9, linked source"
2,영등포/문래,더몬스터전자담배,서울 영등포구 문래동 (당산 인근),010-8412-6010,,,,,전자담배 전문점,당산/문래 상권,3,4,5,12,A,1,미접촉,,공개 웹 검색 기반 초안,yes,web_search_draft,draft_only,혼합 고회전 상권,12.90,P3,Wave 3,309,Batch 11,"score 12.9, message_type1, flags:draft_only"
2,영등포/문래,베이프247 당산,서울 영등포구 당산동3가,010-3400-3408,,,,,전자담배 전문점,당산 상권,3,4,5,12,A,1,미접촉,,공개 웹 검색 기반 초안,yes,web_search_draft,draft_only,혼합 고회전 상권,12.90,P3,Wave 3,310,Batch 11,"score 12.9, message_type1, flags:draft_only"
2,영등포/문래,보라매전자담배,서울 동작구 신길동 보라매 인근,010-9168-7640,,,,,전자담배 전문점,보라매 상권,3,4,5,12,A,1,미접촉,,공개 웹 검색 기반 초안,yes,web_search_draft,draft_only,혼합 고회전 상권,12.90,P3,Wave 3,311,Batch 11,"score 12.9, message_type1, flags:draft_only"
3,영등포/문래,스모킹라이프,서울 영등포구 대방천로 191 1층,0507-1479-8991,https://map.naver.com/p/entry/place/36215100,,,,전자담배 전문점,영등포 생활상권,3,4,5,12,A,2,미접촉,,"네이버 지도 place listing 검증 완료. 전자담배 카테고리, 서울 영등포구 주소, 0507 확인",yes,linked_source,,혼합 고회전 상권,12.90,P3,Wave 3,312,Batch 11,"score 12.9, linked source"
2,영등포/문래,영등포 베이프로,서울 영등포구 영등포동,010-2157-4889,,,,,전자담배 전문점,영등포 상권,3,4,5,12,A,1,미접촉,,공개 웹 검색 기반 초안,yes,web_search_draft,draft_only,혼합 고회전 상권,12.90,P3,Wave 3,313,Batch 11,"score 12.9, message_type1, flags:draft_only"
2,영등포/문래,자담체인지 양평동,서울 영등포구 양평동1가,010-2061-3232,,,,,전자담배 전문점,양평/영등포 상권,3,4,5,12,A,1,미접촉,,공개 웹 검색 기반 초안,yes,web_search_draft,draft_only,혼합 고회전 상권,12.90,P3,Wave 3,314,Batch 11,"score 12.9, message_type1, flags:draft_only"
2,영등포/문래,타바고 영등포점,서울 영등포구 영등포동,010-4000-7744,,,,,전자담배 전문점,영등포 상권,3,4,5,12,A,1,미접촉,,공개 웹 검색 기반 초안,yes,web_search_draft,draft_only,혼합 고회전 상권,12.90,P3,Wave 3,315,Batch 11,"score 12.9, message_type1, flags:draft_only"
2,영등포/문래,하카전자담배 당산점,서울 영등포구 당산동,010-6872-1107,,,,,전자담배 전문점,당산 상권,3,4,5,12,A,1,미접촉,,공개 웹 검색 기반 초안,yes,web_search_draft,draft_only,혼합 고회전 상권,12.90,P3,Wave 3,316,Batch 11,"score 12.9, message_type1, flags:draft_only"
2,영등포/문래,하카전자담배 영등포점,서울 영등포구 영등포동,010-5403-1721,,,,,전자담배 전문점,영등포 상권,3,4,5,12,A,1,미접촉,,공개 웹 검색 기반 초안,yes,web_search_draft,draft_only,혼합 고회전 상권,12.90,P3,Wave 3,317,Batch 11,"score 12.9, message_type1, flags:draft_only"
2,잠실/송리단길,너구리전자담배 오금점,서울 송파구 마천로 68 1층,010-2798-0511,,,,,전자담배 전문점,오금 상권,3,4,5,12,A,1,미접촉,,공개 웹 검색 기반 초안,yes,web_search_draft,draft_only,혼합 고회전 상권,12.90,P3,Wave 3,318,Batch 11,"score 12.9, message_type1, flags:draft_only"
2,잠실/송리단길,찰리전자담배 오금동점,서울 송파구 마천로 190 청전빌딩 1층 103호,010-9386-5950,,,,,전자담배 전문점,오금 상권,3,4,5,12,A,1,미접촉,,공개 웹 검색 기반 초안,yes,web_search_draft,draft_only,혼합 고회전 상권,12.90,P3,Wave 3,319,Batch 11,"score 12.9, message_type1, flags:draft_only"
2,종로/을지로/충무로,동묘토네이도 창신동,서울 종로구 창신동,010-6378-0168,,,,,전자담배 전문점,동묘/창신 상권,3,4,5,12,A,1,미접촉,,공개 웹 검색 기반 초안,yes,web_search_draft,draft_only,혼합 고회전 상권,12.90,P3,Wave 3,320,Batch 11,"score 12.9, message_type1, flags:draft_only"
2,종로/을지로/충무로,에어베이프 연희동,서울 서대문구 연희로 114 1층,010-7519-7639,,,,,전자담배 전문점,연희 상권,3,4,5,12,A,1,미접촉,,공개 웹 검색 기반 초안,yes,web_search_draft,draft_only,혼합 고회전 상권,12.90,P3,Wave 3,321,Batch 11,"score 12.9, message_type1, flags:draft_only"
2,종로/을지로/충무로,전자담배 충정로,서울 서대문구 충정로 73 1층,010-4599-9317,,,,,전자담배 전문점,충정로 상권,3,4,5,12,A,1,미접촉,,공개 웹 검색 기반 초안,yes,web_search_draft,draft_only,혼합 고회전 상권,12.90,P3,Wave 3,322,Batch 11,"score 12.9, message_type1, flags:draft_only"
3,구로디지털단지,구로전자담배 샤파밍기샵,서울 구로구 도림천로 446,010-4850-8540,,,,,전자담배 전문점,구로 상권,3,4,5,12,A,1,미접촉,,공개 웹 검색 기반 초안,yes,web_search_draft,draft_only,혼합 고회전 상권,12.20,P3,Wave 3,323,Batch 11,"score 12.2, message_type1, flags:draft_only"
3,구로디지털단지,금천전자담배프라자,서울 금천구 독산동,010-2224-2527,,,,,전자담배 전문점,독산 상권,3,4,5,12,A,1,미접촉,,공개 웹 검색 기반 초안,yes,web_search_draft,draft_only,혼합 고회전 상권,12.20,P3,Wave 3,324,Batch 11,"score 12.2, message_type1, flags:draft_only"
3,구로디지털단지,돛대전자담배 독산,서울 금천구 독산로 주변,010-2654-6016,,,,,전자담배 전문점,독산 상권,3,4,5,12,A,1,미접촉,,공개 웹 검색 기반 초안,yes,web_search_draft,draft_only,혼합 고회전 상권,12.20,P3,Wave 3,325,Batch 11,"score 12.2, message_type1, flags:draft_only"
3,구로디지털단지,루프베이프 신도림,서울 구로구 경인로 643 신도림2차동아아파트 상가 1층,010-8191-3284,,,,,전자담배 전문점,신도림 상권,3,4,5,12,A,1,미접촉,,공개 웹 검색 기반 초안,yes,web_search_draft,draft_only,혼합 고회전 상권,12.20,P3,Wave 3,326,Batch 11,"score 12.2, message_type1, flags:draft_only"
3,구로디지털단지,마크전자담배 가산점,서울 금천구 가산동,010-8961-3375,,,,,전자담배 전문점,가산디지털 상권,3,4,5,12,A,1,미접촉,,공개 웹 검색 기반 초안,yes,web_search_draft,draft_only,혼합 고회전 상권,12.20,P3,Wave 3,327,Batch 11,"score 12.2, message_type1, flags:draft_only"
3,구로디지털단지,베이프큐 가산점,서울 금천구 가산동,010-4209-9954,,,,,전자담배 전문점,가산디지털 상권,3,4,5,12,A,1,미접촉,,공개 웹 검색 기반 초안,yes,web_search_draft,draft_only,혼합 고회전 상권,12.20,P3,Wave 3,328,Batch 11,"score 12.2, message_type1, flags:draft_only"
3,구로디지털단지,신도림 미쓰전자담배,서울 구로구 경인로 643 신도림2차동아 A상가 1층 133호,010-6624-2288,,,,,전자담배 전문점,신도림 상권,3,4,5,12,A,1,미접촉,,공개 웹 검색 기반 초안,yes,web_search_draft,draft_only,혼합 고회전 상권,12.20,P3,Wave 3,329,Batch 11,"score 12.2, message_type1, flags:draft_only"
3,구로디지털단지,원베이프 개봉동점,서울 구로구 경인로 320,010-5212-5995,,,,,전자담배 전문점,개봉 상권,3,4,5,12,A,1,미접촉,,공개 웹 검색 기반 초안,yes,web_search_draft,draft_only,혼합 고회전 상권,12.20,P3,Wave 3,330,Batch 11,"score 12.2, message_type1, flags:draft_only"
3,구로디지털단지,원타임 신도림,서울 구로구 경인로67길 23 (신도림2차푸르지오) 상가,010-2356-0059,,,,,전자담배 전문점,신도림 상권,3,4,5,12,A,1,미접촉,,공개 웹 검색 기반 초안,yes,web_search_draft,draft_only,혼합 고회전 상권,12.20,P3,Wave 3,331,Batch 11,"score 12.2, message_type1, flags:draft_only"
3,구로디지털단지,전자담배멀티샵 구로,서울 구로구 경인로 206 1층,010-8644-5330,,,,,전자담배 전문점,구로 상권,3,4,5,12,A,1,미접촉,,공개 웹 검색 기반 초안,yes,web_search_draft,draft_only,혼합 고회전 상권,12.20,P3,Wave 3,332,Batch 11,"score 12.2, message_type1, flags:draft_only"
3,구로디지털단지,키츠베이프,서울 금천구 가산동,010-2568-9378,,,,,전자담배 전문점,가산디지털 상권,3,4,5,12,A,1,미접촉,,공개 웹 검색 기반 초안,yes,web_search_draft,draft_only,혼합 고회전 상권,12.20,P3,Wave 3,333,Batch 11,"score 12.2, message_type1, flags:draft_only"
3,마포/공덕,마포 베이프 대흥 이지전자담배,서울 마포구 대흥동,010-8988-8563,,,,,전자담배 전문점,대흥 상권,3,4,5,12,A,1,미접촉,,기존 이지 대흥동과 동일. 중복 확인 필요; 동일 연락처 중복 병합: 이지 대흥동 | 서울 마포구 대흥동,yes,web_search_draft,merged_dup_history,혼합 고회전 상권,12.10,P3,Wave 3,334,Batch 11,"score 12.1, message_type1, flags:merged_dup_history"
3,마포/공덕,원더베이프 상암점,서울 마포구 상암동,010-4410-5595,,,,,전자담배 전문점,상암/마포 상권,3,4,5,12,A,1,미접촉,,공개 웹 검색 기반 초안; 동일 연락처 중복 병합: 원더베이프 상암 | 서울 마포구 상암동,yes,web_search_draft,merged_dup_history,혼합 고회전 상권,12.10,P3,Wave 3,335,Batch 11,"score 12.1, message_type1, flags:merged_dup_history"
2,은평/연신내,라미야은평점,서울 은평구 통일로 856 (불광동) 메트로타워 지하1층 17호,010-8711-8200,https://m.martha-vape.com/bs21/layout/map_store2.html,,,,전자담배 전문점,불광/연신내 상권,3,4,5,12,A,2,미접촉,,공개 웹 검색 기반 초안,yes,linked_source,,확장/생활상권,13.60,P3,Wave 3,336,Batch 12,"score 13.6, linked source"
3,강서/마곡,더몬스터 강서점,서울 강서구 공항대로46길 9 연우넥스트뷰 101호,010-4807-6793,http://litmuskorea.co.kr/sitefront/Litmuskorea/stores/,,,,전자담배 전문점,화곡 생활상권,3,4,5,12,A,2,미접촉,,"공식 스토어 로케이터 재확인 2026-04-10, 리트머스코리아 취급점 페이지 기반 비핫스팟 확장 추가",yes,official_locator,,확장/생활상권,13.40,P3,Wave 3,337,Batch 12,"score 13.4, official source"
3,동대문/청량리,하카전자담배 답십리점,서울 동대문구 답십리로 173 1층,010-7288-3758,https://m.martha-vape.com/bs21/layout/map_store2.html,,,,전자담배 전문점,답십리 생활상권,3,4,5,12,A,2,미접촉,,"공식 스토어 로케이터 재확인 2026-04-10, 마샤 베이프 매장 페이지 기반 비핫스팟 확장 추가",yes,official_locator,,확장/생활상권,13.40,P3,Wave 3,338,Batch 12,"score 13.4, official source"
3,서초/양재,증기기관 서초점,서울 서초구 서초중앙로24길 5 맨투맨빌딩 104호,010-9340-6927,https://m.martha-vape.com/bs21/layout/map_store2.html,,,,전자담배 전문점,서초 생활상권,3,4,5,12,A,2,미접촉,,"공식 스토어 로케이터 재확인 2026-04-10, 마샤 베이프 매장 페이지 기반 비핫스팟 확장 추가",yes,official_locator,,확장/생활상권,13.40,P3,Wave 3,339,Batch 12,"score 13.4, official source"
3,천호/강동,하카강동점,서울 강동구 양재대로 1599 102호,010-8677-9070,http://litmuskorea.co.kr/sitefront/Litmuskorea/stores/,,,,전자담배 전문점,천호 생활상권,3,4,5,12,A,2,미접촉,,"공식 스토어 로케이터 재확인 2026-04-10, 리트머스코리아 취급점 페이지 기반 비핫스팟 확장 추가",yes,official_locator,,확장/생활상권,13.40,P3,Wave 3,340,Batch 12,"score 13.4, official source"
3,강서/마곡,구구미니 전자담배 화곡,서울 강서구 화곡동,010-4675-0251,https://jokoonmini.com/,,,,전자담배 전문점,화곡 상권,3,4,5,12,A,1,미접촉,,공개 웹 검색 기반 초안,yes,linked_source,,확장/생활상권,13.30,P3,Wave 3,341,Batch 12,"score 13.3, message_type1, linked source"
3,노원,휴즈전자담배 노원직영점,서울 노원구 상계동 371-2,010-8279-2797,https://m.zapjuice.co.kr/article/%EC%A0%84%EA%B5%AD%EC%B7%A8%EA%B8%89%EC%A0%90%EC%95%88%EB%82%B4/1002/1252/,,,,전자담배 전문점,노원/상계 상권,3,4,5,12,A,1,미접촉,,공개 웹 검색 기반 초안,yes,linked_source,,확장/생활상권,13.30,P3,Wave 3,342,Batch 12,"score 13.3, message_type1, linked source"
3,도봉/창동,마샤 베이프 방학점,서울 도봉구 방학로 131 1층 3호,010-2881-1098,https://m.martha-vape.com/bs21/layout/map_store2.html,,,,전자담배 전문점,방학 상권,3,4,5,12,A,1,미접촉,,공개 웹 검색 기반 초안,yes,linked_source,,확장/생활상권,13.30,P3,Wave 3,343,Batch 12,"score 13.3, message_type1, linked source"
3,동대문/청량리,베이프랩 답십리,서울 동대문구 황물로 65 (답십리동),010-9790-2770,https://vapelab.co.kr/,,,,전자담배 전문점,답십리 상권,3,4,5,12,A,1,미접촉,,공개 웹 검색 기반 초안,yes,linked_source,,확장/생활상권,13.30,P3,Wave 3,344,Batch 12,"score 13.3, message_type1, linked source"
3,목동/오목교,시가랜드 전자담배,서울 양천구 신월로 344 1층,0507-1335-8585,https://map.naver.com/p/entry/place/34524114,,,,전자담배 전문점,신정 상권,3,4,5,12,A,1,미접촉,,"네이버 지도 place listing 검증 완료. 전자담배 카테고리, 서울 양천구 주소, 0507 확인. 기존 공개 웹 검색 010 대체",yes,linked_source,,확장/생활상권,13.30,P3,Wave 3,345,Batch 12,"score 13.3, message_type1, linked source"
3,문정/가락,베이프엔문정,서울 송파구 법원로4길 6 문정아이파크 132-2호,010-7559-9574,https://primejuice.kr/article/%ED%8C%90%EB%A7%A4%EC%A0%90-%EC%B0%BE%EA%B8%B0/5/1018/,,,,전자담배 전문점,문정 상권,3,4,5,12,A,1,미접촉,,공개 웹 검색 기반 초안,yes,linked_source,,확장/생활상권,13.30,P3,Wave 3,346,Batch 12,"score 13.3, message_type1, linked source"
3,사당/방배,막시무스코리아,서울 서초구 서초동,010-9632-3788,https://maximuskorea.co.kr/,,,,전자담배 전문점,서초 상권,3,4,5,12,A,1,미접촉,,공개 웹 검색 기반 초안,yes,linked_source,,확장/생활상권,13.30,P3,Wave 3,347,Batch 12,"score 13.3, message_type1, linked source"
3,사당/방배,킹콩전자담배 반포점,서울 서초구 잠원동,010-5216-5934,http://litmuskorea.co.kr/sitefront/Litmuskorea/stores/,,,,전자담배 전문점,반포/잠원 상권,3,4,5,12,A,1,미접촉,,공개 웹 검색 기반 초안,yes,linked_source,,확장/생활상권,13.30,P3,Wave 3,348,Batch 12,"score 13.3, message_type1, linked source"
3,서울대입구/샤로수길,스모크 서울대입구역 전자담배,서울 관악구 관악로 211 1층 8호,010-5898-0078,https://m.zapjuice.co.kr/article/%EC%A0%84%EA%B5%AD%EC%B7%A8%EA%B8%89%EC%A0%90%EC%95%88%EB%82%B4/1002/646/,,,,전자담배 전문점,서울대입구 상권,3,4,5,12,A,1,미접촉,,공개 웹 검색 기반 초안,yes,linked_source,,확장/생활상권,13.30,P3,Wave 3,349,Batch 12,"score 13.3, message_type1, linked source"
3,서울대입구/샤로수길,하이전자담배,서울 관악구 관악로 212 1층 127호 (봉천동 관악프라자),010-4803-7499,http://litmuskorea.co.kr/sitefront/Litmuskorea/stores/,,,,전자담배 전문점,봉천 상권,3,4,5,12,A,1,미접촉,,공개 웹 검색 기반 초안,yes,linked_source,,확장/생활상권,13.30,P3,Wave 3,350,Batch 12,"score 13.3, message_type1, linked source"
